"","x"
"1",-23.3227504087865
"2",-39.2917020892343
"3",-27.2312922273865
"4",-7.93956812257551
"5",21.909502120871
"6",32.5593082943995
"7",21.0452914744122
"8",-1.87171761608155
"9",-13.9767385685452
"10",-12.5174394735127
"11",0.858486449553727
"12",18.8003770524945
"13",25.0684489941382
"14",16.120050942506
"15",-5.46459960710249
"16",-22.6980043767316
"17",-22.1855167471344
"18",-0.93902965633051
"19",15.2132158084089
"20",18.3898412334308
"21",4.39257598093435
"22",-4.84806958914872
"23",-26.2080355471679
"24",-19.6493899717677
"25",-3.93834444993632
"26",14.7877529802408
"27",19.3600815120188
"28",15.9876103116866
"29",1.51817808687551
"30",-11.7860167001251
"31",-8.74997229552283
"32",2.21705480160085
"33",18.9211842075659
"34",8.71533575987822
"35",7.09466815200474
"36",-15.533650400204
"37",-23.2137479514462
"38",-27.8345830374416
"39",-14.8100646796916
"40",14.7763525509842
"41",14.6838746293426
"42",17.3952805626929
"43",4.01126008156863
"44",-1.68990310490086
"45",-5.66390550523641
"46",2.52288418947739
"47",17.2185679895203
"48",17.5155675068118
"49",5.35260192069594
"50",-0.798907967897917
"51",-14.7408669664213
"52",-19.9751352666936
"53",-14.9759230239261
"54",-3.52513842848957
"55",-5.13918394428765
"56",0.264375372729772
"57",-3.00608685105731
"58",0.605406992158269
"59",-4.00920092153029
"60",5.5058204450052
"61",7.60747523852788
"62",9.88255050674377
"63",9.80290142932704
"64",-0.86177771133546
"65",-2.42378596855313
"66",-0.998845141557263
"67",4.14037196326407
"68",3.43445155815731
"69",-1.82754481111213
"70",-4.45544387854928
"71",-10.5657185072925
"72",-20.5681437141752
"73",-21.1887549131551
"74",-14.6816950169694
"75",-6.48494066819841
"76",4.33595100731001
"77",21.0661567498357
"78",14.4098917839873
"79",10.546977567816
"80",5.42130876434161
"81",-2.1456460402627
"82",1.03731431514318
"83",5.94289416078231
"84",6.84351591389703
"85",8.60346387593257
"86",-6.21881138326754
"87",-6.49864839761633
"88",-6.8877697039375
"89",0.649337548534025
